name,difficulty,description,equipment_needed,equipment,primary_muscle,secondary_muscle
Bicep Curls,beginner,"Stand with feet slightly apart, knees slightly bent, abs tight. Grasp a dumbbell in each hand with an underhand grip. Lock elbows into the side of your torso and rest weights in your hand, on the front (or just outside) of the thighs. Inhale: Curl one dumbbell to your shoulder.
Exhale: Lower dumbbell to starting position, then curl the dumbbell in your opposite hand.
One curl on each side equals one rep.",TRUE,"Dumbbells, either one or two",biceps,null
Forward Lunges,beginner,"Stand with your feet about 6 inches apart from each other toes pointed forward. INHALE: Step forward with one leg and lower your body to 90 degrees at both knees. Don’t step out too far. There should be 2 to 2.5 feet between your feet at this point. Keep your weight on your heels and don’t allow your knees to cross the plane of your toes.

EXHALE: Push up and back to the starting position to complete one rep. Repeat all reps on one leg, then switch to complete one set.",FALSE,null,quads,glutes
Lying Leg Press on Sled Machine,beginner,"Follow machine instructions for set up and select desired weight. Position your body so that feet are hip-width apart, toes pointing forward, knees are above the ankles, back is straight, and abs are engaged. Make sure your knees and hips are both bent at 90 degrees. EXHALE: Keeping your weight balanced in your heels, extend your knees to push the foot stand away from your body.

INHALE: Slowly bend the knees to return to the start position (a 90-degree bend at the knees) to complete one rep.",TRUE,Sled machine,"quads, glutes","hamstrings, calves"
Seated Dumbbell Shoulder Press,beginner,"Sit on the end of a bench or use a bench/chair that supports the back. Hold dumbbells in each hand. Hold weights with palms facing out and elbows at 90 degrees, palms at shoulder level. EXHALE: Push weights overhead until arms are straight and in line with shoulders. Don't lock elbows completely.

INHALE: Return to starting position to complete one rep.",TRUE,dumbbells,shoulders,null
Seated Dumbbell Triceps Extensions,beginner,"Sit holding one dumbbell with both hands behind your neck by grasping the plate and wrapping your thumbs and pointer fingers around the hand grip. EXHALE: Extend arms straight above your head, keeping elbows next to ears.

INHALE: Lower the weight back down with control to the starting position to complete one rep.",TRUE,dumbbell,triceps,null
Side Plank,advanced,"Start by lying on your side, legs straight, feet stacked. Straighten bottom arm, keeping it in line below shoulder, and place free hand on your hip. Flex feet and balance on sides of feet (feet are stacked). Use abs to keep hips lifted. Hold for 30 seconds. Work up to 1-3 minutes.",FALSE,null,obliques,abs
Squats,beginner,"Begin this exercise by standing with your feet wider than shoulder width apart and your toes pointed forward. INHALE: Slowly lower your body and remember to bend slightly at your hips. Keep your weight back on your heels and your back as upright as possible. Make sure your knees don’t cross the plane of your toes.

EXHALE: Straighten legs and come up to the starting position to complete one rep.",FALSE,null,quads,glutes
Squats with Barbell,advanced,"Place barbell on the rack so that it’s just below your shoulder height when standing next to it. Add desired weight plates and safety clips to each end. With your back to the squat rack, place shoulders underneath barbell and hands on barbell, then straighten legs to lift barbell off rack. Take a small step forward so barbell is away from squat rack. Place feet hip-width apart, toes slightly turned outward, abs engaged, and back straight. INHALE: Bend at the knees (and slightly at the hips) to slowly lower your body towards as if sitting back into a chair. Don’t bend deeper than 90 degrees at the knees.

EXHALE: Straighten back up to the starting position to complete one rep.",TRUE,"barbell, squat rack","quads, hamstrings, calves, glutes",
Stationary Lunges with Barbell,advanced,"Place barbell on the rack so that it’s just below your shoulder height when standing next to it. Add desired weight plates and safety clips to each end. With your back to the squat rack, place shoulders underneath barbell and hands on barbell, then straighten legs to lift barbell off rack. Take a small step forward so barbell is away from squat rack. Place feet hip-width apart, toes slightly turned outward, abs engaged, and back straight. INHALE: Bend at both knees to lower your body straight down towards the ground, but without exceeding 90-degree bends at the knees.

EXHALE: Straighten the legs to push back up to the start position to complete one rep.",TRUE,"barbell, squat rack","quads, hamstrings","calves, glutes"
Standing Overhead Triceps Pull on Cable Cross Machine,advanced,"Select desired weight. Stand near the left side of the cable cross machine and adjust that pulley to the highest position. Place the handle grip attachment onto the pulley’s carabiner. Stand facing away from the weight stack, with both hands gripping handle, palms facing forward, arms bent (but overhead), feet staggered, back straight and abs engaged. Step forward until the weight is lifted off the stack in this starting position and pitch slightly forward from the waist. EXHALE: Extend the elbows to lift the weight stack, as if bringing your hands towards the opposite side of the cable cross machine.

INHALE: Slowly bend the elbows to return to the start position to complete one rep.",TRUE,cable cross machine,triceps,null
Triceps Dips with Straight Legs,advanced,"Sit on a chair or step. Grasp the front edge of seat near thighs. Walk feet forward until hips are slightly bent, legs straight, arms extended (don't lock elbows). Keep feet hip-width apart. INHALE: Bend elbows about 90 degrees and lower hips toward the floor. (If you feel pain in the shoulders, your elbows are bent too much.)

EXHALE: Press up until elbows are straight, but not locked.",FALSE,null,triceps,null
Standing Chest Flys on Cable Cross Machine,advanced,"Select desired weight. Adjust both pulleys to a shoulder-height position. Place the hand grip attachments onto the pulley carabiners. Stand at the center of the cable cross machine, back straight, abs engaged, hand gripping each handle, palms facing outward, arms in line with chest like a ""T"" and legs staggered one in front of the other. EXHALE: Keeping elbows slightly bent, pull handles in front of chest, as if hugging a large tree in front of you.

INHALE: Slowly return to the start position (without locking elbows) to complete one rep.",TRUE,cable cross machine,chest,null
Back Extensions on Roman Chair,advanced,"Follow machine instructions for set up. Place feet on foot stand and thighs on the pad so that your body is free to hinge at the hips. Cross arms at your chest, keep back as straight as possible, with your head and neck in the with the spine, and engage your abs. INHALE: Bend forward from the hips, lowering chest towards the floor, while keeping back straight.

EXHALE: Straighten your body to return to the start position to complete one rep.",TRUE,roman chair,lower back,glutes
